"ComputerName","Status","Name","DisplayName","RequiredServices","StartType","CanPauseAndContinue","CanShutdown","CanStop","ServiceHandle","PSComputerName","RunspaceId","PSShowComputerName"
"WIN10-01","Running","PlugPlay","Plug and Play","","Manual","False","True","True","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","PNRPAutoReg","PNRP Machine Name Publication Service","pnrpsvc","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","PNRPsvc","Peer Name Resolution Protocol","p2pimsvc","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Running","PolicyAgent","IPsec Policy Agent","Tcpip bfe","Manual","False","True","True","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Running","Power","Power","","Automatic","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","PrintNotify","Printer Extensions and Notifications","RpcSs","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Running","ProfSvc","User Profile Service","RpcSs","Automatic","False","True","True","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","PushToInstall","Windows PushToInstall Service","rpcss","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","QWAVE","Quality Windows Audio Video Experience","QWAVEdrv rpcss LLTDIO psched","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","RasAuto","Remote Access Auto Connection Manager","RasAcd","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Running","RasMan","Remote Access Connection Manager","SstpSvc DnsCache","Automatic","False","True","True","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","RemoteAccess","Routing and Remote Access","Http RasMan RpcSS Bfe","Disabled","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","RemoteRegistry","Remote Registry","RPCSS","Disabled","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","RetailDemo","Retail Demo Service","","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Running","RmSvc","Radio Management Service","RpcSs","Manual","False","False","True",,"localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Running","RpcEptMapper","RPC Endpoint Mapper","","Automatic","False","False","False",,"localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","RpcLocator","Remote Procedure Call (RPC) Locator","","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Running","RpcSs","Remote Procedure Call (RPC)","DcomLaunch RpcEptMapper","Automatic","False","False","False",,"localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Running","SamSs","Security Accounts Manager","RPCSS","Automatic","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","SCardSvr","Smart Card","","Manual","False","False","False",,"localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
