Port,TCP,UDP,Description,Status,Range Type,Plain / Cypher Text
1492,TCP,,"Sid Meier's CivNet, a multiplayer remake of the original Sid Meier's Civilization game[citation needed]",Unofficial,Registered,
1494,TCP,UDP,Citrix Independent Computing Architecture (ICA),Unofficial,Registered,
1500,TCP,,IBM Tivoli Storage Manager server,Unofficial,Registered,
1501,TCP,,IBM Tivoli Storage Manager client scheduler,Unofficial,Registered,
1503,TCP,UDP,Windows Live Messenger (Whiteboard and Application Sharing),Unofficial,Registered,
1512,TCP,UDP,Microsoft's Windows Internet Name Service (WINS),Official,Registered,
1513,TCP,UDP,Garena game client[citation needed],Unofficial,Registered,
1521,TCP,UDP,nCUBE License Manager,Official,Registered,
1521,TCP,,"Oracle database default listener, in future releases[when?] official port 2483 (TCP/IP) and 2484 (TCP/IP with SSL)",Unofficial,Registered,
1524,TCP,UDP,"ingreslock, ingres",Official,Registered,
1527,TCP,UDP,"Oracle Net Services, formerly known as SQL*Net",Official,Registered,
1527,TCP,,Apache Derby Network Server,Unofficial,Registered,
1533,TCP,UDP,IBM Sametime Virtual Places Chat,Official,Registered,
1534,,UDP,Eclipse Target Communication Framework (TCF) agent discovery,Unofficial,Registered,
1547,TCP,UDP,Laplink,Official,Registered,
1550,TCP,,Gadu-Gadu (direct client-to-client)[citation needed],Unofficial,Registered,
1581,TCP,UDP,MIL STD 2045-47001 VMF,Official,Registered,
1581,TCP,,IBM Tivoli Storage Manager web client,Unofficial,Registered,
1582-1583,TCP,,IBM Tivoli Storage Manager server web interface,Unofficial,Registered,
1583,?,?,Pervasive PSQL,Unofficial,Registered,
1589,TCP,UDP,Cisco VLAN Query Protocol (VQP),Official,Registered,
1604,TCP,,DarkComet remote administration tool (RAT)[citation needed],Unofficial,Registered,
1626,TCP,,iSketch,Unofficial,Registered,
1627,TCP,,iSketch,Unofficial,Registered,
1628,TCP,UDP,LonTalk normal,Official,Registered,
1629,TCP,UDP,LonTalk urgent,Official,Registered,
1645,,UDP,Early deployment of RADIUS before RFC standardization was done using UDP port number 1645. Enabled for compatibility reasons by default on Cisco[citation needed] and Juniper Networks RADIUS servers. Official port is 1812. TCP port 1645 MUST NOT be used.,Unofficial,Registered,
1646,,UDP,"Old radacct port,[when?] RADIUS accounting protocol. Enabled for compatibility reasons by default on Cisco[citation needed] and Juniper Networks RADIUS servers. Official port is 1813. TCP port 1646 MUST NOT be used.",Unofficial,Registered,
1666,TCP,,Perforce,Unofficial,Registered,
1677,TCP,UDP,Novell GroupWise clients in client/server access mode,Official,Registered,
1688,TCP,,Microsoft Key Management Service (KMS) for Windows Activation,Unofficial,Registered,
1701,TCP,UDP,Layer 2 Forwarding Protocol (L2F),Official,Registered,
1701,TCP,UDP,Layer 2 Tunneling Protocol (L2TP),Official,Registered,
1707,TCP,UDP,Windward Studios games (vdmplay),Official,Registered,
1707,,UDP,"L2TP/IPsec, for establish an initial connection",Unofficial,Registered,
1716,,UDP,"America's Army, a massively multiplayer online game (MMO)",Unofficial,Registered,
1719,TCP,UDP,H.323 registration and alternate communication,Official,Registered,
1720,TCP,UDP,H.323 call signaling,Official,Registered,
1723,TCP,UDP,Point-to-Point Tunneling Protocol (PPTP),Official,Registered,
1755,TCP,UDP,"Microsoft Media Services (MMS, ms-streaming)",Official,Registered,
1761,TCP,UDP,Novell ZENworks,Unofficial,Registered,
1783,,,"Decomissioned [sic] Port 04/14/00, ms",Official,Registered,
